"Title","Url Title","Entry Date","Subhead","Posted By","Body","Categories"
"Rethinking Brand Equity in the Digital Age","rethinking-brand-equity-in-the-digital-age","July 25, 2016","","Rebecca Jones","Recently, Bridge Partners along with 8works, invited business leaders across technology, banking, insurance, and the non-profit sector to our Solutions Exchange Lab in San Jose. The focus of the lab was building brand equity in a digital age. Digital has been working its way into mainstream for decades now—diligently chipping away the surface of many business models, while at the same time feeling like an overnight disruptive sensation.

The premise of a lab is three-fold: Cross-pollinate leaders from various industries with common challenges, apply insights and share perspectives, and leave with practical strategies to pilot in your organization. We spent the first part of our day setting a common foundation. We identified and assessed the issues that cross-cut organizations, departments, and industries with a focus on brand equity, customer experience, and driving sustainable growth. When it was all said and done, two key insights had emerged from the session.

 

UNDERSTAND YOUR PLACE AND SPACE

The first insight is simply stated: in order to create customer value, you need to first have a sense of place and space. It’s about culture, intent, leadership, organization design, and how individuals operate together with purpose. This opens up new ways to engage, collaborate, and innovate through pilot programs (whether they succeed or fail). By adjusting how you operate, you can better meet the needs of the modern customer. Take a look at Spotify’s approach to customer engagement and innovation (Part 1 / Part 2). It captures many of the principles that help us build our consulting practices and bring value to our customers. 

 

AUTOMATION DOES NOT EQUAL ENGAGEMENT

Another insight that surfaced in the lab is the fact that digital tools and automation are not synonymous with customer engagement. Your customer may not want to buy online. They may want to buy from you in a retail location but conduct research or book a service appointment online. Know your product and, more importantly, how your customer wants to engage with your brand, product, and employees.  Know your place and space in your customer’s lifecycle. You have a moment of relevance—perhaps many. Know when and where to engage and seize the moment!

 

FINAL THOUGHTS

Engaging with these business leaders at our Lab in San Jose was a rewarding experience. We challenged accepted practices, stirred the pot with new ideas, and walked away with actionable insights to leverage in our organizations. At the very least, everyone walked away with a fresh perspective and new connections with leaders willing to think differently.  

Our next Solutions Exchange Lab is scheduled for October in Seattle with limited availability. We are looking for thought leaders, game changers, and strategists with a desire to create change in your business. Contact me if you’re interested in joining us.","
  Marketing & Digital
"
"How to Tell Your Boss He is Wrong","how-to-tell-your-boss-he-is-wrong","July 21, 2016","","John Tribble","Your boss is wrong and you know it. Perhaps he (or she) is about to set a course of action or strategy that could lead to a major setback and needs to be warned against it. Or maybe he said the wrong thing to his team or client—a mistake you need to prevent from recurring. He might not even realize it, but you know he is wrong, and you know that no one else is going to tell the emperor he has no clothes.

The good news is that your boss probably wants you to speak your mind. Good leaders need trusted advisors, and if you can develop that relationship, it will benefit you both. If you work for a leader who doesn’t want that input, bigger problems are bound to eventually surface. Now, the question is how to tell your boss he is wrong.

 

BE TIMELY

It is important to find the right setting, which is usually a private moment. Delivering feedback in a public setting formalizes the disagreement and puts your boss on the spot to respond. Leaders don’t like their authority questioned in front of others, usually out of fear of losing the respect of the larger group. This makes your boss more likely to dig in his heels in front of others. Find the right time and setting, but also be proactive and request a private meeting before your boss has locked into a decision and made an official announcement. “I have been thinking about the retention strategy and would appreciate if I could bounce some ideas off you later today.” If you are encouraged by your boss in a team setting to provide your opinion, you might need to defer to a private moment. “I think this is a complicated issue, and I’d like to give it some additional thought and discuss later today.” 

 

BE RESPECTFUL

If, ultimately, your boss has the authority to stay the course you disagree with, your role is to be the trusted advisor. “I’ve been thinking about some factors I wanted to make sure you were aware of so you could make your decision with a full knowledge of the situation.” By reinforcing their role as decision maker, you aren’t challenging their authority, merely starting the conversation as the valuable provider of information. In the end, it might be necessary to jump on board if your boss is completely set on the path you disagree with, but for the good of the organization, you will have to execute it together. “Whatever you decide, you know I will back it one hundred percent, but if you are considering other opinions, I believe our best course of action is actually…”  Using the words “You are wrong” will alienate him. Instead, phrases like “I believe” or “maybe we should consider” allows your boss to come to the decision without feeling backed into it. Start subtle, and once he engages in the dialogue, you will have the opportunity to be more blunt.

 

BE LOGICAL

Leading with a gut feeling won’t build any credibility. Your boss needs a reason to change his mind. On what factors have you based your opinion? “Based on these factors, I think we should consider.” Perhaps he was not aware of those factors. Or maybe he was not aware of employee or client perception. Arguing over whether or not he used the right or wrong words is simply a matter of opinion, but telling him how the team or client responded is objective information. He may still think his approach is right, but if he knows how the group perceives it, he should at least listen to your point of view. 

 

WRAPPING UP

Ultimately, not expressing your opinion can lead to sleepless nights or a decision that negatively impacts your entire organization. When your boss knows that you are on his side and feel compelled to share the facts that led you to a different opinion, he will be open to feedback. In the future, he will be more likely to ask for your opinion before he sets his course. Your co-workers will notice that you have the ability to influence your manager, a distinction that can provide political capital. When done with proper finesse, the rewards for delivering a dissenting opinion are many—both for you and for your organization.  ","
  People & Change
"
"Five Content Marketing Mistakes to Avoid","five-content-marketing-mistakes-to-avoid","June 23, 2016","","Ethan Kalkwarf","Content marketing is a valuable tool to spark interest and build relationships with an audience, but too many marketers develop digital content without a strategic plan in place. A staggering 70% of marketers lack a consistent or integrated content strategy.1  In an environment ripe with competition, you need a concentrated, focused, and strategic approach. When mapping your content marketing plan, you’ll want to avoid these five key mistakes. 

 

LACK OF PURPOSE

Invest in content marketing because you have ideas to share, not just something to sell. Conventional marketing wisdom says that every piece of content needs an explicit call to action. I disagree. Every piece of content needs an explicit purpose. Sometimes that purpose is to encourage the audience to take action, and other times the purpose is to create awareness, generate a certain feeling, create buzz, or spark interest. Too often, brands are so busy trying to fill space in a blog, website, or newsletter that they forget their purpose. If you’re using content marketing just to create linkbacks to your site or fill an editorial calendar – stop! Take the time to deliver content that is fun, creative, informative, controversial, valuable, and most importantly, purposeful.  

 

INCONSISTENCY

Maintaining a consistent presence and consistent quality is key to a successful content marketing program. Set a rhythm and stick to it. Your content cadence will depend, among other things, on your creative resources, budget constraints, and business objectives. The key here is to establish a pace that you can maintain without falling into the aforementioned habit of cranking out mediocre content just to meet a deadline.

 

IGNORING A DISTRIBUTION PLAN

One way to quickly nullify your content marketing efforts is to ignore a distribution plan.  Will anyone read or interact with your content? They won’t without an automation or distribution plan in place. What has sometimes been referred to as the digital marketing trinity is your email list, social media presence, and search engine rankings. These three elements are the basis of your distribution plan. Build your email list, grow your social following on networks like Facebook, Twitter, and LinkedIn, and earn higher search engine rankings by consistently delivering quality content that is optimized and shareable. Also, make sure that you support your strongest pieces of content, if not all your content, with adequate demand gen funding. That could come in many forms, including sponsored social posts, banner ads, and search engine marketing.  

 

FORGETTING YOUR AUDIENCE

If you’re consistently producing content with an effective distribution mechanism in place, you’re all set, right? Wrong. If you’re creating content without understanding your audience, you run the risk of doing more harm than good. It may be time to create or update your buyer personas and study your target audience. Spend some time mapping your customers’ journey and measure how your content fits into each stage of their buying process. This activity will help you measure your effectiveness, and may also uncover gaps in your content plan.  

 

IGNORING ANALYTICS

No one data point can determine if your program is working. You’ll need to develop a comprehensive array of KPIs and metrics that track consumption, shares, engagement, and lead generation. When you start thinking in terms of dollars and not just eyeballs, analytics become a lot more important. How are your consumers sharing your content with others? Are you reaching key influencers in your industry? How is your content driving revenue? You’ll also want to differentiate between metrics that indicate the quality of your core content (e.g. time spent on page), the quality of your demand gen content (e.g. click through rate), and those that could be influenced by both (e.g. social shares).

 

As content marketing continues to disrupt traditional marketing methods, it is imperative you routinely audit your program to ensure you’re not making these five mistakes. To truly differentiate your brand, you must consistently produce content that adds value and speaks to customers. Take full advantage of the digital marketing trinity, remain patient, and don’t overlook the importance of analytics. Content marketing isn’t a get-rich-quick scheme, but over time, real commitment can pay off. ","
  Marketing & Digital
"
"Dispelling the Big Data Myth: A Practical Take on Talent Analytics","dispelling-the-big-data-myth-a-practical-take-on-talent-analytics","June 06, 2016","","Cynthia LaRowe","

It has become a truism that organizational talent is the biggest competitive advantage in the modern marketplace—and the biggest threat. As digital technology revolutionizes what can be known about employees and how that data can be leveraged by companies and competitors alike, massive generational workforce shifts put critical business intelligence and management capability at risk.  

Securing meaningful and actionable talent data is imperative to mitigating these risks and maintaining, if not gaining market share. But many companies ‘don’t know what they don’t know’ about their talent and are stymied about where and how to start. In some cases, they lack the technology and capabilities to capture and apply talent data in meaningful ways. In others, they lack the leadership needed to change these factors and an effective decision framework to act on the data they have. 

This lack of readiness comes at a high cost. Companies that don’t leverage talent analytics are at risk of losing relevance to their customers and employees. Talent analytics may be defined simply as finding meaningful data elements and relationships to make fact-based people decisions. In day-to-day practice, however, what does that mean?

 

It's not about the numbers

Gathering and using data for modeling and forecasting are just part of effective talent analytics. Elegant visualization and story-telling—creating “beautiful evidence,” per Edward Tufte—are also critical. In fact, the value of talent analytics may lie less in data itself and more in how data is interpreted and presented to create the intended awareness and impact. Once a niche specialty, impactful data visualization is now equal access thanks to tools like Tableau and Power BI. 

The business benefits are clear. Multiple studies point to the value of using talent analytics to help drive critical measures like best-in-class business performance and higher revenue per employee. In Competing on Talent Analytics, for example, the Harvard Business Review describes net increases in employee engagement, operating income, and high potential performance and retention at companies like Starbucks, The Limited Brands, Best Buy, AT&T, Google, and Sprint—all of whom have dedicated talent analytics functions and use talent data to drive people processes and practices.

 

One size does not fit all

It is a common assumption that business-critical talent metrics are standard across companies and that, once those metrics are defined, capturing employee data is the primary work. As a result, many companies devote more effort to data capture than to data analysis.

Talent metrics are not one-size-fits-all, however. Data that is essential for one company may not make sense to another depending on several factors:  


	Strategic business objectives and success measures: What a company is trying to achieve and how it defines success
	Stakeholder needs and engagement: End-user access to data, involvement in data management, and constraints
	Data systems and visualization maturity, capacity, and intent: Ability to effectively visualize and manage data


 

Culture rules

Peter Drucker is attributed with saying “culture eats strategy for breakfast.” The same might be said for cloud maturity. While an intentional approach to digital technology is imperative in the modern marketplace, organizational leadership and culture may still counter-balance technical sophistication in driving business results. 

Best-in-class leaders create cultures that are responsive to all types of data and value evidence-based decision-making. They demand hard and soft people data and drive operations that are agile in identifying and aligning people metrics to key business results. 

 

Finding the right balance

Understanding what drives a company is key to identifying which metrics should guide strategic decisions. A business decision framework is one way to map top strategic differentiators and risk tolerance alongside the talent metrics and people processes that drive them.  Another key tool is a change management plan that addresses analytics findings.

An “all or nothing” mentality can hold companies back from investing in talent analytics. Talent analytics maturity may range, though, from simple metrics and dashboards to predictive modeling and data-driven decision-making. Taking a modular approach and scaling capabilities—maintaining legacy platforms as needed while adopting agile analytics processes for developing tools and delivering data—is a good way to start.

Following your employees’ lead can also help set talent analytics priorities. Modern employees expect companies to use data to connect them more closely with the products, services, programs, and experiences they provide.  Leading companies leverage data from inside and outside the corporate environment to anticipate and address employee needs. 

The end result? Active engagement that drives long-term interest, productivity, and loyalty.  Competitive advantage at its best.","
  People & Change
"
"Partners for a Stronger Community","partners-for-a-stronger-community","May 18, 2016","","Richard Albrecht","As the CEO of a people-based business, one of my favorite things to do is meet with our consultants one-on-one over coffee. It is incredibly important to me to make real connections with the people who make our company great and build relationships with people at every level of our growing firm. Because it’s easy to get caught up in the daily grind and overlook one of the most important things in our business (our people), I make a concerted effort to meet someone new every week. 

A few weeks ago, I met with one of our stars, D'Laina Boynton. Over some of Seattle’s finest brew, she shared her passion for causes that make our communities happier, stronger, and safer. Her desire was to create opportunities for Bridge employees, families, and friends to join together and make an impact outside the office. With D’Laina leading this effort, we formally started a Bridge Volunteer Community to organize and plan volunteer events throughout the year. We knew we had an incredible team with diverse talents and passions and we learned that when we join together and make an intentional effort, we can truly be a force for good in our community.

Earlier this month, we partnered with the March of Dimes, and employees from our Seattle office volunteered in support of the annual March for Babies of Puget Sound. Next month, we’ll partner with Seattle Parks and Recreation to do a park cleanup. In addition to the time and energy our people invest in local causes, corporate support is also an important part of our approach to community service. Bridge supports local public education initiatives such as the Alliance for Education and Rainier Scholars, as well as global health non-profit PATH. Further, our matched, employee-directed giving program has expanded our reach considerably.

I’m truly proud of the contributions our team has made to the communities where we live and work. Since we started this company in 2006, we’ve sought to create an environment where our people are empowered to contribute, have real influence on how we do business, and work together to build a positive, meaningful culture. It’s what Bridge Partners is all about.

","
  News
"
"Help Yourself to Better Meetings","help-yourself-to-better-meetings","May 12, 2016","","Cristofer Munson","

Raise your hand if you’ve ever led a meeting that fell flat. Raise your other hand if you’ve ever participated in a meeting that was boring and a waste of your time. Now lower your hands because, wherever you are, people are staring at you and probably think you’re being robbed.

And aren’t we all being robbed (in a way) when we are forced to sit through meetings that don’t live up to their potential? We’re being robbed of our time and our talent—perhaps two of our most valuable human resources. 

There are treasure troves of books and articles that can help you plan and execute a successful meeting. When I search for the phrase “how to have a successful meeting,” I get 79,300,000 hits. You’ve no doubt read at least some of them. I’ve read more than my fair share, and it is not my intention to repeat the “top tips for meeting management” here. Even if I did, they wouldn’t necessarily be of help to you because we don’t always get to plan and lead every meeting we attend and we are, it seems, at the mercy of the person in charge. So, I wanted to share some thoughts on how you can help yourself in any meeting situation.

To improve the quality of any meeting, I recommend the following:

“Manage the energy, not the meeting.”

To do this, the first thing you have to recognize is that every meeting has a certain energy—that sense of engagement with, and interest in, the topic at hand. You can have the best objectives, the best agenda, the best content, the best facility, the best tools…the best of the best. But if you’re not mindful of the energy flowing (or not flowing) during the course of a meeting, you run the risk of robbing everyone of their time and talent.

To be clear, I’m not suggesting that a meeting has to be all “rah-rah” and fun-filled to be effective. In fact, some of the best meetings are serious and intense, especially when the stakes are high and the consequences significant. What I am suggesting, however, is that you can be aware of the energy level and empower yourself to make a positive impact on a moment-to-moment basis. This is true regardless if you are leading the meeting or “just” participating in it. Here are some simple ways you can help yourself to a better meeting. 

 

WAYS TO HEIGHTEN YOUR ENERGY AWARENESS


	Surrender to this truth: every meeting has energy. The trick is to have it be the energy you want.  What energy do you want to create and experience?
	Observe the pulse of the energy in the meeting. Is there one?
	Observe yourself. Are you interested and engaged? If not, why? What can you do to become so right now?
	Observe others. Are they interested and engaged? What can you do to engage others right now?


This last question is the most critical to helping yourself to a better meeting: “What can you do to engage others (and yourself) right now?”  The best and simplest way that I have found to achieve that objective is to do this: 

Focus on what you can contribute to the meeting—not on what you’re getting out of it.

Seriously. Try it. This simple change in attitude (i.e., “how can I contribute”) can dramatically change your experience in any meeting. For example, if you are sitting in a meeting and you sense everyone has gone down a “rabbit hole,” be the one that speaks up and says so. If you have the sense that others in the room may have a question that they’re not asking, ask it—even if you know the answer (that’s a great way of making sure that others have the same information you have without coming off as a “know-it-all”). If you think of something (appropriately) funny, say it. Humor is a great way to inject pure energy into a meeting.

 

SUMMARY

I’m purposely not offering suggestions on how to improve meetings through better planning, preparation, execution, etc. As noted earlier, there are already 79 million iterations of great ideas out there. And those rules, tips, and tricks don’t work universally well for everyone. Even if they did, they can’t give you the power to improve your own experience in the moment. The best way to achieve that, in my experience, is by being aware of the meeting energy and focusing on what you can give more than on what you can get in any moment.","
  People & Change
"
"Selling Cloud Solutions to Government Agencies","selling-cloud-solutions-to-government-agencies","May 04, 2016","","Jerry Leishman","

RESPONDING TO SECURITY THREATS

Federal, state, and local agencies are vulnerable to cyber-attacks for many reasons. But the biggest factor is their inability to keep pace with the changing tools and technology deployed by their attackers. The dizzying rate of change has left them flat-footed, facing seemingly insurmountable technical barriers.

In order to identify, stop, and remediate the damage of cyberattacks, government agencies are now pursuing multiple approaches. These include:  


	Embracing the 2011 “Cloud First” Whitehouse policy in an effort to take advantage of the cloud value proposition and security capabilities.
	Investing in third-party technologies to help quickly mitigate security breaches, audit failures, and known gaps in their security profile.
	Requiring internal and external services and products to meet more rigorous certifications, such as NIST 800-53, to help improve their overall security profile and the effectiveness of their controls.


 

MARKET OPPORTUNITY

These are good point approaches, but they still lack the vision and implementation speed needed to keep up with the changing technology landscape and the threat from cyber criminals. This gap has created a multibillion-dollar opportunity for cloud-based SaaS providers with federal certifications such as FISMA, FedRAMP, and DISA. According to IDC, the federal government alone will spend $6.7 billion on cloud technologies in 2016 and $11.5 billion by 2019.

There is no doubt that companies are making a significant investment to build security and compliance solutions. In March, the annual RSA Conference hosted over 40,000 attendees, 400 sessions, and nearly 1,000 vendors. For the most part, though, these vendors are focused on commercial opportunities. This is due to the time and money it takes to achieve federal certifications such as FISMA, FedRAMP, and DISA.

 

CSP PARTNERSHIPS

If you are a SaaS provider interested in the government marketplace, your SaaS certification process could be streamlined and costs minimized by working with a Cloud Service Platform (CSP) that has already achieved these federal certifications for their IaaS and PaaS services. This enables you to reduce your certification down to the SaaS layer and reuse the CSP’s certifications. Microsoft and Amazon are two leading CSPs that have already achieved US Government FISMA, FedRAMP, and some DISA certifications.  

Bridge Partners helps CSPs and third-party SaaS providers work together to enter the government market. The effort and timetables will vary for every SaaS provider, depending on your compliance and security maturity, but you could achieve your certifications at a lower cost and on an accelerated timetable. A CSP interested in partnering with a SaaS provider will be interested in their potential government revenue opportunity as well as the SaaS provider’s financial health and management ability.

Those that can meet these CSP expectations will be in a position to become an early government cloud SaaS market entrant and create a competitive advantage over other third-party SaaS providers.

 

NEXT STEPS

For organizations interested in pursuing this multibillion-dollar marketplace, we recommend that you do the following:


	Assess the need for your SaaS solution by US government agencies. Does your solution have demonstrated evidence in the commercial marketplace?  If not, we recommend focusing on commercial cloud implementations first. The exception is if you already have government customers that have implemented your on-premises solutions. If those same customers are candidates for your SaaS offering, you should move forward.
	Select the best government CSP. Selecting the right CSP is a critical component of your success in the government marketplace. If you want to meet the requirements of your target customers, you’ll need to pay special attention to security, privacy, and compliance policies when evaluating prospective CSPs.
	Achieve your federal, state, and local certifications. Most organizations have not invested in control assessments or the required policy, documentation, and technical requirements to achieve certifications. You should be fully aware of these requirements and ask if your organization is prepared to invest the time and money needed to succeed.    
	Co-sell your SaaS solution. In order to sell to government agencies, you should leverage your CSP. If they have a strong government sales organization, you’ll benefit from their credibility, relationships, and access. And, since CSP sellers are compensated based on resource consumption (e.g. compute, storage, network, etc.), they are motivated to sell applications that drive consumption, not just their platform.


Success won’t come overnight. But for organizations that have the management support, technical skills, compliance maturity, and patience, the government cloud services market presents a multibillion-dollar opportunity.

Want to learn more about how Bridge Partners is helping SaaS solution providers achieve government certifications at a lower cost and on an accelerated timetable? Click here to get in touch.  ","
  Sales & Channel
"
"The Next Generation of Sales Enablement","the-next-generation-of-sales-enablement","April 25, 2016","","","With the help of Bridge Partners, a global technology leader is more effectively demonstrating business value for its customers.



GREATER EXPECTATIONS

The digital revolution has changed the way we access information and has transformed the way products are bought and sold. Today’s sales organizations must respond and adapt to buyers’ changing behavior. For example, the role and impact of personal relationships on the sales process has moderated while business value is as important as ever. Buyers are hungry for industry expertise, third-party research, and objective advice, and they can access this information from a broad set of credible sources. Most importantly, buyers want to work with a vendor who understands their business challenges and opportunities. To succeed, today’s sellers need the right tools and resources to facilitate discussions centered on business value.

 

BRIDGING THE GAP

Our customer, a global Fortune 50 technology leader, approached Bridge Partners for help closing the gap between what buyers wanted from the sales process and what sellers could deliver. Buyers wanted clear data on business value and ROI. The sales teams needed a new approach and better tools to promote the business value of their software solutions. The old approach—an all-too-familiar product and feature based sales presentation—often resulted in conversations disconnected from industry, business, and functional area goals. Our team of consultants knew that for our customer to have relevant sales conversations, we would need to help them solve their customers’ business problems.



AN INNOVATIVE ENABLEMENT TOOL

We worked with our client to build a customer-facing pre-sales workshop that helps prepare sellers for business value conversations with buyers. This interactive, online tool allows the seller to input information about a prospective buyer’s business, industry, functional role, and market segment. The tool then uses customer information and predefined business scenarios to create customized content for key buyer types. It helps sellers facilitate a consultative workshop with buyers and focuses the conversation on customer needs. By providing a Total Cost of Ownership (TCO) calculator to help prove ROI, ready-to-go business proposals, and workshop presentations, the sales conversation keeps moving forward.

 

DRIVING SALES

At the end of the day, sales enablement is about empowering sellers to drive new business. The tool Bridge Partners developed is helping sellers have more productive business value conversations. Sales presentations are no longer confined to static pitches that focus on features and benefits. Instead, customer needs are in the driver’s seat, and sellers are positioned to respond to those needs with dynamic, personalized content supported by quantitative evidence and third-party validation. It all adds up to more sales, faster pipeline velocity, and satisfied customers. ","
  Sales & Channel
  Customer Stories
"
"Four Coaching Pitfalls to Avoid","four-coaching-pitfalls-to-avoid","April 25, 2016","","John Tribble","

When one of your direct reports (or even a peer) struggles with a performance issue, it affects the entire team. It can cost your business money and even give your competition the advantage. You can help by providing thoughtful feedback and coaching. But if you don’t have the right attitude and approach, you can cause irreparable damage to those relationships and have the opposite effect on performance. In order to build strong relationships and get the best out of your team, you’ll want to avoid these four common coaching pitfalls.

Pitfall Number One: Trying to act like a boss. Start with the mindset that you are the coach, not the boss. Make sure your direct report knows you want him to succeed, and that you have some valuable feedback that will allow him to course-correct before the problem becomes too large to fix. He won’t change simply because you demand it, and he won’t react positively if you use language like “you made me look bad.” Instead, he will want to know that you share his best interests and can provide a roadmap for how to change. 

Pitfall Number Two: Being unclear. As a coach, your job is to point out the specific action or steps that he needs to take in order to be successful. Find out if your organization has role guides, job frameworks, or other documentation that can provide you and your direct report a playbook with mutually understandable guidelines. Even a job description is better than nothing. Many performance gaps are not due to lack of skill, but rather a lack of clear expectations. If you take responsibility for not laying out clearer expectations previously, you will create a foundation of trust with your employee.

Pitfall Number Three: Sharing opinions instead of defining the problem.  Use facts to compare and contrast your direct report’s performance against expectations (this is a good time to point back to clearly documented roles and responsibilities). Identify specific examples so that each of you are on the same page. Do not focus on the possible cause of the shortfall or anything else that is debatable. A common issue here is for employees to feel like their manager is out to get them. Your direct report will feel this way if the performance gap is purely based on opinion or if your feedback includes vague language such as “the plan needs to be more strategic.” Break down his responsibility into clear, observable, and/or measurable components, leveraging whatever role-based documentation exists.

Pitfall Number Four: Not having a game plan.  This is an opportunity that your direct report can and should embrace. It is important that they buy into the need for change and agree to a performance improvement plan. That plan should include answers to the following:


	Objective – What is the level of performance that is required?
	Action plan – What specifically will be completed or measured and when is the deadline? 
	Checkpoint – When will you meet again to review progress. Start with short-term milestones (2 weeks out) and gradually lengthen the time to 30, 60, and then 90 days.


It is critical that you actively manage the plan over a long period of time. If performance meets expectations, recognize that at checkpoints or even between them, so your employee feels the momentum of being on track.

Simply demanding better performance, as if it were a manager’s right, is not enough to generate sustainable improvement. Managers that approach the conversation with a coach’s mindset, provide a playbook to clarify expectations, identify specific issues, and partner with their employees have the best chance of improving performance and building loyalty. Managers and direct reports that come through this process together forge rewarding relationships and continue learning together.","
  People & Change
"
"Getting Up and Running with Marketing Automation","getting-up-and-running-with-marketing-automation","March 28, 2016","","Christopher Ferris","

The goal of a marketing program is to serve the right content at the right time to your target audience. The goal of a marketing automation program is no different. Automation shouldn’t change what you want to accomplish, but it should save you time and money while helping you scale. Unfortunately, the amount of effort it takes to establish and maintain a marketing automation system is often costlier than the rewards. Here are a few things you should understand if you want to get marketing automation off the ground and see positive ROI.

 

SIMPLE IS GOOD

If you’re considering marketing automation as a solution for your business, you’ll soon learn that getting things up and running is a complex task. It requires the coordination of many disciplines and overlapping dependencies. For example, you’ll need to consider the following:


	Content strategy. What do you want your customers to do, learn, and ultimately purchase? How often do you communicate with your leads and when are they ready for sales calls?
	Content journey. What is the right way to show the lifecycle of your leads so that your key decision makers can make sense of it?
	Content development. What is the right message for new leads, and how much content do you create to support a lead’s specific interests?
	Automation software. What automation product will you use? How much can you manage in-house and how much support do you need from technical experts?
	Development costs and efforts. Do you have the right email templates and page templates? Do you have a website ready to support new content? And what new materials do you need to create?
	Demand generation. Once your story is ready to unfold, how will your audience find it? And will you generate enough traffic through the journey to justify the costs of implementation?


Once you get started, many other sub-projects will add themselves to this list. These can stir up whirlpools among your stakeholders, creating distracting discussions and subsequent delays. With that in mind, you’ll need clear priorities. The first iteration should be as simple as possible. Leave optimization and diversification to subsequent efforts.

 

CONTENT IS KING

No customer is impressed by automation. To her, there is nothing compelling about it at all. Customers care about content, so your first priority should be capturing their attention and offering something of value. One of the tools that can help you craft engaging content is the customer persona.  If done thoughtfully, persona research provides a frame of reference, not just for content writers, but also for:


	Content strategists. Where do we find our audience? How do we tell our story?
	Nurture journey architects. How do we encourage leads to discover solutions for themselves? Will the journey surface qualified leads effectively?
	Interactive developers. How can we use the best technologies to simplify, support, and enhance the experience for leads?


 

THE JOURNEY MATTERS

The next important task is to define the first journey, the starting point, and the minimum viable product. One of the great benefits that come with an automation platform (once it is operational) is that your marketing campaigns can be observed, tested, measured, and improved.

In order to get that first journey launched, you’ll need to identify the most basic conversation you will have with your customers. It’s tempting to have your journey account for every one-off and corner case (we are conditioned to look for exceptions and to illuminate them). But try to resist this urge. Plan for the first journey to serve the simplest need and target the largest behavior set—whether it’s 80 percent of your audience or even 50 percent.

One way to look at this philosophy is from a Six Sigma planning approach:


	Identify the most obvious opportunities for improvement
	Focus on the biggest and most obvious, and create a solution
	Measure that solution’s performance while dreaming up solutions for the second most obvious opportunity
	Iterate and choose only the next most obvious/valuable opportunity


 

THE FUTURE IS NEAR

When planning your first marketing automation program, it can be a challenge to focus on today without losing sight of tomorrow. New ideas will abound, and future concerns will surface. You’ll need to compartmentalize the planning conversation into short, medium, and long-term thinking. Dive into the short-term challenges as they must be overcome to begin the program. Use the medium-term concerns to help shape a scalable solution. And let long-term thinking help you recognize and plan for big ideas that are before their time. This approach will help you manage scope, control costs, and make the necessary short-term decisions with the long-run ROI in mind.","
  Marketing & Digital
"
